country,date,Onset
Latvia,2020-03-07,7.69980601357905
Latvia,2020-03-08,8.760911736178468
Latvia,2020-03-09,10.00121241513094
Latvia,2020-03-10,11.229388942774005
Latvia,2020-03-11,12.709747817652765
Latvia,2020-03-12,14.227206595538313
Latvia,2020-03-13,15.512366634335596
Latvia,2020-03-14,16.788069835111543
Latvia,2020-03-15,18.637002909796315
Latvia,2020-03-16,19.901794374393795
Latvia,2020-03-17,20.794616876818623
Latvia,2020-03-18,21.988845780795344
Latvia,2020-03-19,22.746120271580992
Latvia,2020-03-20,23.0082444228904
Latvia,2020-03-21,22.807468477206594
Latvia,2020-03-22,22.7315712900097
Latvia,2020-03-23,23.088021338506305
Latvia,2020-03-24,22.40227934044617
Latvia,2020-03-25,21.913918525703203
Latvia,2020-03-26,21.18671193016489
Latvia,2020-03-27,20.94495635305529
Latvia,2020-03-28,19.855480116391853
Latvia,2020-03-29,18.82904946653734
Latvia,2020-03-30,18.65179437439379
Latvia,2020-03-31,18.521580989330747
Latvia,2020-04-01,17.693743937924346
Latvia,2020-04-02,15.927497575169738
Latvia,2020-04-03,15.361299709020367
Latvia,2020-04-04,14.442531522793406
Latvia,2020-04-05,13.4405916585839
Latvia,2020-04-06,12.954898157129001
Latvia,2020-04-07,12.712657613967023
Latvia,2020-04-08,12.46047526673133
Latvia,2020-04-09,11.594325897187197
Latvia,2020-04-10,11.153006789524733
Latvia,2020-04-11,10.75533462657614
Latvia,2020-04-12,10.395004849660525
Latvia,2020-04-13,10.232541222114452
Latvia,2020-04-14,10.783462657613967
Latvia,2020-04-15,11.228903976721629
Latvia,2020-04-16,11.233753637245393
Latvia,2020-04-17,11.441319107662464
Latvia,2020-04-18,11.474054316197865
Latvia,2020-04-19,11.18913676042677
Latvia,2020-04-20,10.966779825412221
Latvia,2020-04-21,10.832686711930165
Latvia,2020-04-22,10.503394762366634
Latvia,2020-04-23,10.053346265761398
Latvia,2020-04-24,9.615421920465568
Latvia,2020-04-25,9.348690591658585
Latvia,2020-04-26,8.970417070805043
Latvia,2020-04-27,8.542677012609118
Latvia,2020-04-28,8.250242483026188
Latvia,2020-04-29,7.966294859359844
Latvia,2020-04-30,7.72502424830262
Latvia,2020-05-01,7.255577109602328
Latvia,2020-05-02,7.1454898157129
Latvia,2020-05-03,7.2410281280310365
Latvia,2020-05-04,7.026430649854511
Latvia,2020-05-05,6.534917555771097
Latvia,2020-05-06,6.7630940834141615
Latvia,2020-05-07,6.605965082444229
Latvia,2020-05-08,6.2366634335596505
Latvia,2020-05-09,5.7339961202715815
Latvia,2020-05-10,5.615179437439378
Latvia,2020-05-11,5.321532492725509
Latvia,2020-05-12,5.221871968962173
Latvia,2020-05-13,5.192774005819593
Latvia,2020-05-14,4.944713870029098
Latvia,2020-05-15,4.525945683802133
Latvia,2020-05-16,4.151794374393793
Latvia,2020-05-17,3.9224054316197865
Latvia,2020-05-18,3.5645004849660524
Latvia,2020-05-19,3.548011639185257
Latvia,2020-05-20,3.3901551891367605
Latvia,2020-05-21,3.266973811833172
Latvia,2020-05-22,2.940591658583899
Latvia,2020-05-23,2.8011639185257033
Latvia,2020-05-24,2.806983511154219
Latvia,2020-05-25,2.8404461687681866
Latvia,2020-05-26,2.696653734238603
Latvia,2020-05-27,2.55552861299709
Latvia,2020-05-28,2.435499515033948
Latvia,2020-05-29,2.337536372453928
Latvia,2020-05-30,2.1532492725509216
Latvia,2020-05-31,2.099660523763337
Latvia,2020-06-01,1.9548981571290012
Latvia,2020-06-02,1.7887972841901065
Latvia,2020-06-03,1.484238603297769
Latvia,2020-06-04,1.412948593598448
Latvia,2020-06-05,1.3203200775945683
Latvia,2020-06-06,1.26721629485936
Latvia,2020-06-07,1.1282735208535402
Latvia,2020-06-08,1.0775945683802133
